Term,Meaning_of_term,Dialect type,True_False_question,correct_answer
لا تخليني كذا لا اني مقيد ولا اني مفكوك,لا تدعني بين نعم و لا لست بمقيد او حر,Central,"### نوع السؤال: صحيح/خطأ
المهمة: اختر فقط إجابة واحدة دون أية ملاحظات. 
السؤال: العبارة تعبر عن عدم الرغبة في البقاء في وضع غير مستقر. 
الخيارات: 
A) صحيح 
B) خطأ",A
لا تستسيد,معنها لا تكذب باللهجة القطيفية,Eastern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'لا تستسيد' تعني 'لا تكذب' في اللهجة القطيفية.
الخيارات:
أ) صحيح
ب) خطأ",أ
لا يقدم ولا يؤخر,لا  يغير شئ,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'لا يقدم ولا يؤخر' تعني أن الشخص لديه تأثير واضح على الأحداث.
الخيارات:
أ) صحيح
ب) خطأ",ب
لا يِكْثَر,"""لا تكمل كلامك و قف عند هذا الحد""؛ عبارة يقولها الشخص عادةً عندما لا يعجبه ما يسمعه أو يقرأه. ",Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'لا يكثر' تعني 'استمر في الكلام'.
الخيارات:
أ) صحيح
ب) خطأ",ب
لا يهوش ولا يجمع رضم,تطلق على الشخص الذي بلا نفع,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'لا يهوش ولا يجمع رضم' تعني أن الشخص له نفع كبير.
الخيارات:
أ) صحيح
ب) خاطئ",ب
لجلج مهجهج .,الشخص المندفع الكثير الكلام .,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'لجلج مهجهج' تدل على شخص قليل الكلام.
الخيارات:
أ) صحيح
ب) خاطئ",ب
إمحش خشتك,معناها أي امسح وجهك مثال امحش خشتك قبل لا تخرج من البيت.,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (إمحش خشتك) بمعنى امسح وجهك.
الخيارات:
أ) صحيح
ب) خاطئ",أ
لعنبوه,لعنبوه . لعن والد الشخص المراد به في العبارة,Western,"المهمة: هل العبارة 'لعنبوه' تستخدم للدعاء للوالد؟
السؤال: هل العبارة 'لعنبوه' تُستخدم بشكل صحيح كدعاء للوالد؟
الخيارات:
أ) صحيح
ب) خطأ",ب
لك ولا للذيب,لك ولا للذيب جملة عادة تستخدم للطلب من شخص اخر او المساعدة,Central,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: عبارة ""لك ولا للذيب"" تستخدم عادة للتعبير عن الرفض. 
الخيارات: 
A) صحيح 
B) خطأ.",B
ليتك سجدت,"عبارة يقول الشخص عندما يمل ويسأم من صعوبة حياته ويريد الخلاص والراحة, وترجع هذه العبارة إلى قصة الخلق الإسلامية المذكورة في القرآن حينما أمر الله الملائكة وإبليس بالسجود لأدم فسجدوا جميعا إلا إبليس مما ترتب على هذا العصيان حصول العداء بين الله والإنسان مع الشيطان والطرد من الجنة والنزول إلى الأرض فقائل هذه العبارة كأنه يقول ليتك سجدت يا إبليس وكنا الآن نتنعم في الجنة بدلا من هذه الحياة القاسية",Central,"المهمة: اختر الجواب الصحيح.
السؤال: العبارة ""ليتك سجدت"" تستخدم للتعبير عن الرغبة في الهروب من صعوبات الحياة. 
الخيارات: 
A) صحيح 
B) خطأ",A
ليتهم رقدو,أي: ليت والداك استسلما للنوم بدلا من محاولة إنجابك تلك الليلة. ويقصد بهذه العبارة قلة الاحترام لمن تقال له، أو التلميح انه ليس بكفء.,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'ليتهم رقدو' تعبر عن الاحترام للشخص المقصود.
الخيارات:
أ) صحيح
ب) خطأ",ب
لين تحسب سحر,"هو مضطلح يعني "" مرره "" = "" كثير """,Western,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة: 'عبارة 'لين تحسب سحر' تعني كثير'.
السؤال: عبارة 'لين تحسب سحر' تعني 'كثير'.
الخيارات:
أ) صحيح
ب) خطأ",أ
ما عليه شرهه,"تعني ""معذور عن فعلته"" (( ما عليه شرهه + الشخص المعذور )) (( ما عليه شرهه + سبب العذر <دون استخدام ادوات التعليل>))",Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: العبارة 'ما عليه شرهه' تعني أن الشخص مُلام على فعله.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
ما عندك ما عند جدتي,عبارة تهكم تطلق على من لا يفقه شيئا، أو من يدلي بمعلومات خاطئة. لا أدري ما أصلها. فجداتنا معروفات بالحكمة وليس الجهل. لكن مع ذلك تبقى عبارة تهكم منتشرة في السعودية وخصوصا منطقة نجد,General,"المهمة: تحديد صحة العبارة حول الاستخدام الشائع لعبارة 'ما عندك ما عند جدتي'.
السؤال: عبارة 'ما عندك ما عند جدتي' تُستخدم عادة كعبارة تهكم.
الخيارات:
أ) صحيح
ب) خطأ",أ
ما لك صلاح,لا دخل لك,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'ما لك صلاح' تعني أنه يجب عليك التدخل في الأمور الخاصة.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة:",
ما يدري وين الله حاطه,تقال لوصف الشخص الجاهل بالشيء أو يتكلم فيما لا يحسن,Southern,"### نوع السؤال: صحيح/خطأ 
المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية. 
السؤال: عبارة ""ما يدري وين الله حاطه"" تعني شخص يعرف كل شيء. 
الخيارات: 
A) صحيح 
B) خطأ 
الجواب الصحيح: B 
التفسير: العبارة تصف شخصًا جاهلًا وليس شخصًا يعرف كل شيء.",
ما يديرها,غير بارع أو لا يفقه في أمر معين.,Western,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'ما يديرها' تعني أنه بارع في جميع الأمور.
الخيارات:
أ) صحيح
ب) خطأ",ب
ﺟﺰﺍ ﻟﺒﻴّﻪ ﻟﻘﻌﻪ,ﺗﻌﻨﻲ  ﻫﺬﺍ ﺟﺰﺍﺀ ﺍﻟﻤﻌﺮﻭﻑ ﺍﻟﺬﻱ ﻓﻌﻠﺘﻪ ﻟﻚ  ﻫﻜﺬﺍ ﺗﺠﺎﺯﻳﻨﻲ ﺑﺎﻟﺘﻨﻜﺮ,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة ""جزا لبيّه لقعه"" تُقال عند الامتنان لشخص.
الخيارات:
أ) صحيح
ب) خاطئ",ب
يتحقرص و يتمقرص ,كناية عن انه متضايق ، يعني اثنين يتكلمون ب شي والثالث يتحقرص ويتمقرص يبي يعرف وش يقولون,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة ""يتحقرص ويتمقرص"" تُقال لمن يفرح بنجاح الآخرين.
الخيارات:
أ) صحيح
ب) خاطئ",ب
مالي به,تستخدم غالباً مع الاكل عندما تريد رفض الطعام المقدم لك تقول مالي به,Southern,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أو خاطئة.
السؤال: عبارة 'مالي به' تستخدم للإشارة إلى الرغبة في تناول الطعام.
الخيارات:
أ) صحيح
ب) خطأ",ب
مالي خلق,يعني انا غير موافق لانني منهك تعبان او مطنش,General,"المهمة: قرر ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'مالي خلق' تعني أن الشخص يشعر بالنشاط.
الخيارات:
أ) صحيح
ب) خطأ",ب
ماهو تشى,كلمة جيزانية تعني : ماذا تريد عامية : وش تبغى,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: 'ماهو تشى' تعني بالعامية 'وش تسوي'.
الخيارات:
أ) صحيح
ب) خطأ",ب
بلا مبزره,تقال عند تصرف اي شخصاً كان متصرفا تصرف صغار,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'بلا مبزره' تعني التصرف بصورة ناضجة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
إيش قومك,"ايش قومك . وتعني "" ماذا دهاك أو وش فيك "" وتستخدم في مناطق جنوب المملكة . مثآل: إيش قومك يابو صالح؟",Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'إيش قومك' تُستخدم في شمال المملكة.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
محد قدك ,لا احد يصل الى المرتبة التي انت فيها,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'محد قدك ' تعني أن هناك الكثير من الأشخاص بقوة أكبر.
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة:",
يا ملحك,ما أجملك او يازينك,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'يا ملحك' تعني 'ما أقبحك'.
الخيارات:
أ) صحيح
ب) خطأ",ب
مابه خلاف,تعني لا يوجد مشكلة  و الأمر على ما يرام,General,"المهمة: تقييم صحة العبارة.
السؤال: عبارة ""مابه خلاف"" تُستخدم عندما يرفض الشخص شيئًا.
الخيارات:
أ) صحيح
ب) خاطئ",ب
مذا بك,ماذا بك باللهجه الجنوبيه,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'مذا بك' تعني 'كيف حالك؟'.
الخيارات:
أ) صحيح
ب) خطأ",ب
مذا ماتعبون,مذا ما تعبون = كيف حالكم,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'مذا ماتعبون' تعني 'كيف حالكم'? 
الخيارات:
أ) صحيح
ب) خاطئ",أ
